location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,FOREVILLE,Фрунзенская,1,25.7,2,17,Корниловская,7565079,294361
Москва,Цветочные Поляны ЖК,Фрунзенская,1,42.84,13,17,Филатов Луг,7595361,177296
Москва,Новое Внуково ЖК,Фрунзенская,1,34.06,10,10,Рассказовка,7542756,221454
Москва,Новое Внуково ЖК,Фрунзенская,1,34.6,2,9,Рассказовка,7593108,219453
Москва,Новое Внуково ЖК,Фрунзенская,1,38.22,9,9,Рассказовка,7581243,198358
Москва,Новое Внуково ЖК,Фрунзенская,1,38.27,9,9,Рассказовка,7581220,198098
Москва,Смарт Гарден ЖК,поселок Газопровод,1,29.54,2,16,Корниловская,7579616,256588
Москва,Смарт Гарден ЖК,поселок Газопровод,1,30.1,2,16,Корниловская,7570373,251507
Москва,Цветочные Поляны ЖК,Фрунзенская,1,32.58,14,14,Филатов Луг,7507351,230428
Москва,Квартал Марьино ЖК,Фрунзенская,1,34.22,5,14,Филатов Луг,7568313,221166
Москва,Подольские Кварталы ЖК,Фрунзенская,1,36.46,7,9,Силикатная,7576617,207806
Москва,Квартал Марьино ЖК,Фрунзенская,1,33.97,3,12,Филатов Луг,7597221,223645
Москва,Смарт Гарден ЖК,поселок Газопровод,1,29.48,2,16,Корниловская,7564246,256589
Москва,Эко Бунино ЖК,Фрунзенская,1,39.56,16,16,Летово,7614183,192471
Москва,Квартал Западный ЖК,Фрунзенская,1,36.05,4,14,Рассказовка,7618230,211323
Москва,Зелёный парк,Крюково,1,32.6,2,11,Зеленоград — Крюково,7640135,234359
Москва,Алхимово ЖК,Фрунзенская,1,32.57,5,15,Щербинка,7622781,234043
Москва,Алхимово ЖК,Фрунзенская,1,33.89,5,10,Щербинка,7649597,225718
Москва,Алхимово ЖК,Фрунзенская,1,34.57,5,10,Щербинка,7637096,220916
Москва,Новое Внуково ЖК,Фрунзенская,1,35.56,10,10,Рассказовка,7633381,214662
Москва,Родные кварталы ЖК,Фрунзенская,1,35.6,2,10,Толстопальцево,7617599,213977
Москва,Квартал Марьино ЖК,Фрунзенская,1,36.41,7,17,Филатов Луг,7624641,209410
Москва,Эко Бунино ЖК,Фрунзенская,1,35.67,12,16,Летово,7605194,213209
Москва,Квартал Марьино ЖК,Фрунзенская,1,32.89,5,17,Филатов Луг,7609260,231354
Москва,Остафьево ЖК,Фрунзенская,1,34.64,12,12,Щербинка,7724131,222982
Москва,Остафьево ЖК,Фрунзенская,1,32.81,2,10,Щербинка,7698283,234632
Москва,Квартал Западный ЖК,Фрунзенская,1,40.92,1,14,Рассказовка,7736294,189058
Москва,Новое Внуково ЖК,Фрунзенская,1,38.26,1,9,Рассказовка,7689648,200984
Москва,Движение. Говорово ЖК,Фрунзенская,1,35.19,9,15,Солнцево,7704010,218926
Москва,Середневский Лес ЖК,Фрунзенская,1,32.27,9,9,Филатов Луг,7667190,237594
Москва,"Новые Ватутинки, мкр. Заречный",Фрунзенская,1,32.0,2,12,Кедровая,7706000,240812
Москва,Куркино 15,Куркино,1,25.9,4,23,Химки,7724105,298227
Москва,Остафьево ЖК,Фрунзенская,1,37.86,4,14,Щербинка,7732451,204238
Москва,Алхимово ЖК,Фрунзенская,1,32.54,3,13,Щербинка,7740445,237874
Москва,Алхимово ЖК,Фрунзенская,1,32.68,3,15,Щербинка,7650304,234097
Москва,Новое Внуково ЖК,Фрунзенская,1,35.29,9,9,Рассказовка,7744496,219452
Москва,Середневский Лес ЖК,Фрунзенская,1,36.0,9,9,Филатов Луг,7694999,213749
Москва,Никольские Луга ЖК,Южное Бутово,1,36.2,14,17,Щербинка,7749913,214085
Москва,Подольские Кварталы ЖК,Фрунзенская,1,44.48,1,9,Силикатная,7728000,173741
Москва,Квартал Герцена ЖК,Бирюлево Восточное,1,22.17,10,16,Орехово,7679443,346388
Москва,Эко Бунино ЖК,Фрунзенская,1,36.28,10,22,Летово,7726475,212967
Москва,Молжаниново ЖК,Молжаниновский,1,34.54,1,16,Новоподрезково,7664358,221898
Москва,Молжаниново ЖК,Молжаниновский,1,32.71,12,13,Новоподрезково,7676784,234692
Москва,Детали ЖК,Фрунзенская,1,41.3,2,23,Филатов Луг,7768530,188100
Москва,Эдельвейс ЖК,Фрунзенская,1,45.92,5,7,Рассказовка,7806400,169999
Москва,Движение. Говорово ЖК,Фрунзенская,1,35.57,11,15,Румянцево,7835573,220285
Москва,Цветочные Поляны ЖК,Фрунзенская,1,36.07,10,18,Филатов Луг,7843440,217450
Москва,Цветочные Поляны,Фрунзенская,1,38.2,11,16,Филатов Луг,7803315,204275
Москва,Akvilon Signal,Отрадное,1,22.7,5,23,Владыкино,7817296,344374
Москва,Akvilon Signal,Отрадное,1,22.4,6,23,Владыкино,7836797,349857
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,33.0,6,17,Улица Горчакова,7840652,237595
Москва,Алхимово ЖК,Фрунзенская,1,36.02,5,13,Щербинка,7802939,216627
Москва,Алхимово ЖК,Фрунзенская,1,32.42,3,12,Щербинка,7772591,239746
Москва,Новое Внуково ЖК,Фрунзенская,1,36.15,6,9,Рассказовка,7831355,216634
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,32.9,12,17,Улица Горчакова,7835369,238157
Москва,Середневский Лес ЖК,Фрунзенская,1,38.2,2,9,Филатов Луг,7816865,204629
Москва,Середневский Лес ЖК,Фрунзенская,1,34.24,6,9,Филатов Луг,7783950,227334
Москва,Подольские Кварталы ЖК,Фрунзенская,1,43.31,1,12,Силикатная,7758553,179139
Москва,Квартал Западный ЖК,Фрунзенская,1,39.2,1,14,Рассказовка,7757680,197899
Москва,Цветочные Поляны,Фрунзенская,1,33.9,15,16,Филатов Луг,7771602,229250
Москва,Молжаниново ЖК,Молжаниновский,1,35.84,7,7,Новоподрезково,7776653,216982
Москва,Юнино,Фрунзенская,1,34.4,3,17,Щербинка,7841239,227942
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,36.7,9,17,Улица Горчакова,7865929,214330
